CLAVEESTAB,n_AUH
0093PP0010,33
0045PP0022,33
4070PP8287,33
4096PP0544,33
0028PP0056,33
0084PP0001,33
4069PP1843,33
0082PP0012,33
0006PP0047,33
4071PP2484,33
0109PP0008,33
0060PP0007,33
0077PP0055,33
0066PP0016,33
0095PP0020,33
4083PP5026,33
0047PP0014,33
4114PP0058,32
4062PP0323,32
4116PP2792,32
4085PP3593,32
0010PP0017,32
0098PP0026,32
0093PP0002,32
4102PP0887,32
4011PP0121,32
0093PP0008,32
0033PP0009,32
0108PP0021,32
0075PP0047,32
0109PP0013,32
0026PP0009,32
0070PP0017,32
0112PP0026,32
4069PP1571,32
4096PP1069,32
4069PP0348,32
4055PP1167,32
0103PP0011,32
4069PP0360,32
4116PP0162,32
4070PP0378,32
4048PP0268,32
0108PP0039,32
0025PP0003,32
4063PP1174,32
0018PP0004,32
0063PP0026,32
0088PP0005,32
0069PP0030,32
4083PP5756,31
4123PP3444,31
0053PP0026,31
0100PP0031,31
4097PP3435,31
4063PP0333,31
0012PP0022,31
4100PP1092,31
0051PP0031,31
4055PP2513,31
0078PP0009,31
0134PP0008,31
4043PP3197,31
4135PP2846,31
0007PP0008,31
4047PP1888,31
4109PP0598,31
0109PP0032,31
4096PP0540,31
4025PP1567,31
0035PP0010,31
4052PP0272,31
4007PP0718,31
4002PP0061,31
4133PP1696,31
0060PP0011,31
4081PP0460,30
0069PP0042,30
0024PP0008,30
0109PP0006,30
0068PP0002,30
0031PP0007,30
4001PP1057,30
0059PP0012,30
0047PP0021,30
4130PP5552,30
4107PP0570,30
4136PP0420,30
4030PP8098,30
0050PP0008,30
4069PP3133,30
4043PP3148,30
0049PP0006,30
4110PP1201,30
0130PP0004,30
4007PP0102,30
0050PP0009,30
4108PP0594,30
4061PP1673,30
4062PP1949,30
0028PP0018,30
4117PP0588,30
4045PP2575,30
4083PP5365,29
4096PP0535,29
0128PP0004,29
0112PP0004,29
4069PP1761,29
4101PP5523,29
4045PP1943,29
4111PP1748,29
0082PP0002,29
0020PP0034,29
0027PP0013,29
0107PP0025,29
4098PP0645,29
4043PP1044,29
0034PP0027,29
4095PP0506,29
4062PP2681,29
0063PP0006,29
4083PP3386,29
4100PP0407,29
0042PP0011,29
4125PP8283,29
0108PP0008,29
0060PP0003,29
0079PP0034,29
4004PP2058,29
0098PP0016,29
4117PP0590,29
0107PP0018,29
0096PP0011,29
4001PP0018,29
0097PP0014,29
0067PP0003,29
0079PP0004,29
4119PP5783,29
4008PP1006,29
4043PP0206,29
4069PP0354,29
4083PP5553,28
4131PP3686,28
4001PP0002,28
4007PP0105,28
4067PP8850,28
0008PP0064,28
0068PP0012,28
4097PP0547,28
4001PP0010,28
4005PP0087,28
0081PP0056,28
4030PP8244,28
0086PP0027,28
0025PP0008,28
0009PP0012,28
0025PP0011,28
0117PP0044,28
0047PP0018,28
0015PP0026,28
4070PP0376,28
0110PP0055,28
4108PP0659,28
4072PP5599,28
0092PP0011,28
4135PP5942,28
4008PP3300,28
0110PP0038,28
0137PP0011,28
0075PP0014,28
0098PP0023,28
0130PP0012,28
4016PP8928,28
4117PP0576,28
3001PP9148,28
4001PP0830,28
4069PP0372,28
4001PP0828,28
4099PP8791,28
0043PP0039,28
0024PP0003,27
0107PP0048,27
0112PP0018,27
0013PP0004,27
0096PP0014,27
0058PP0022,27
4111PP3541,27
4045PP0210,27
4004PP1899,27
0077PP0014,27
4008PP3515,27
0070PP0026,27
4071PP0766,27
0077PP0024,27
0038PP0009,27
4106PP1067,27
4130PP8426,27
0053PP0010,27
4087PP0493,27
4073PP3898,27
4055PP3845,27
0061PP0021,27
4069PP3247,27
0058PP0021,27
4102PP0552,27
4053PP0739,27
0100PP0093,27
4073PP0746,27
4106PP0564,27
0041PP0014,27
0107PP0026,27
4136PP0652,27
0107PP0021,26
0060PP0012,26
0117PP0001,26
0063PP0008,26
4001PP0829,26
4083PP2591,26
4136PP0440,26
0112PP0019,26
4017PP5372,26
0010PP0027,26
4097PP5543,26
4055PP2568,26
0047PP0013,26
4083PP2295,26
4032PP3562,26
3027PP0803,26
0100PP0083,26
4059PP1170,26
0026PP0011,26
4095PP0503,26
0008PP0058,26
0047PP0019,26
4114PP1298,26
3111PP8772,26
0120PP0007,26
4102PP2839,26
4096PP5522,26
4045PP0226,26
4062PP5887,26
0048PA0002,26
4105PP0563,26
4111PP0683,26
4043PP1101,26
4135PP0426,26
4001PP0022,25
4094PP0502,25
4055PP8372,25
4020PP0836,25
4062PP0321,25
0053PP0004,25
4045PP0227,25
0062PP0022,25
0002PP0006,25
4131PP5804,25
0081PP0012,25
0107PP0034,25
4111PP1138,25
0002PP0003,25
4005PP0089,25
4001PP0038,25
4001PP0011,25
4096PP0516,25
4131PP3505,25
4001PP0023,25
4004PP3603,25
4001PP0024,25
4096PP0530,25
4083PP3784,25
0067PP0007,25
4113PP0054,25
0095PP0012,25
4062PP0316,25
0040PP0030,25
0093PP0019,25
4097PP0549,25
4097PP0546,25
0075PP0042,24
0042PP0005,24
0008PP0026,24
4043PP5229,24
4045PP0215,24
0002PP0017,24
4116PP3839,24
4004PP0067,24
4136PP3746,24
4001PP0009,24
4063PP7484,24
0098PP0015,24
0068PP0010,24
4111PP3629,24
4062PP0310,24
0079PP0008,24
4028PP0837,24
0017PP0007,24
4081PP8237,24
4073PP0800,24
0070PP0014,24
0041PP0011,24
0035PP0004,24
0028PP0020,24
4133PP6087,24
4072PP0865,24
4073PP8880,24
4008PP0113,24
4069PP5157,24
0102PP0008,24
0109PP0001,24
0015PP0030,24
4055PP3230,24
0051PP0004,24
0120PP0001,24
0068PP0027,23
4069PP3111,23
4062PP0317,23
0106PP0035,23
0007PP0001,23
0100PP0016,23
0091PP0001,23
0051PP0001,23
4060PP0298,23
4030PP3615,23
0012PP0020,23
4043PP7662,23
0048PP0006,23
4133PP3387,23
0117PP0043,23
4117PP0587,23
4045PP5857,23
4043PP3456,23
4107PP0567,23
4095PP0511,23
0067PP0011,23
0107PP0022,23
0134PP0007,23
0070PP0024,23
4088PP5594,23
0078PP0004,23
0002PP0012,23
4065PP0336,23
4030PP3927,23
0055PP0009,23
4100PP0991,23
0098PP0018,23
0007PP0021,23
0047PP0016,23
0114PP0015,23
0130PP0006,23
0047PP0008,22
4109PP0605,22
4030PP3485,22
4085PP5114,22
0081PP0015,22
0092PP0014,22
4085PP1838,22
4100PP0436,22
4009PP0116,22
4100PP1575,22
4131PP3381,22
4085PP6034,22
0028PP0061,22
0093PP0024,22
0047PP0032,22
4097PP1110,22
4111PP0674,22
4069PP0347,22
0023PP0007,22
0029PP0014,22
4083PP8658,22
4097PP1877,22
0081PP0019,22
4102PP0554,22
0077PP0077,21
4005PP7529,21
0081PP0024,21
0070PP0019,21
0134PP0004,21
4070PP0636,21
0025PP0004,21
0008PP0044,21
0003PP0015,21
0104PP0001,21
4080PP0668,21
4005PP5320,21
4018PP0140,21
4008PP0107,21
4008PP0136,21
4044PP7448,21
0107PP0020,21
4071PP3688,21
0063PP0016,21
4068PP0341,21
0126PP0003,21
4025PP0147,21
0077PP0015,21
4047PP8010,21
0031PP0009,21
4136PP0439,21
4062PP0312,21
0011PP0023,21
0059PP0007,21
0049PP0011,21
0112PP0003,21
0097PP0016,21
4116PP2229,21
4071PP6000,21
4077PP0450,21
0010PP0005,21
4085PP6160,20
4111PP5184,20
0105PP0028,20
4074PP5495,20
4005PP1836,20
0047PP0031,20
4062PP0320,20
4072PP2100,20
0042PP0021,20
4001PP0012,20
0006PP0012,20
0057PP0007,20
4116PP8869,20
4004PP0068,20
4053PP0274,20
4096PP0539,20
4028PP1752,20
0035PP0006,20
4111PP0276,20
4117PP8170,20
0061PP0032,20
0023PP0008,20
0008PP0019,20
4097PP2647,20
4109PP0911,20
0074PP0018,19
4043PP0205,19
4001PP9026,19
4001PP0030,19
4071PP8749,19
4005PP7461,19
4131PP5870,19
0075PP0016,19
0028PP0040,19
0106PP0007,19
4004PP5921,19
4116PP8823,19
0112PP0001,19
0074PP0019,19
0102PP0007,19
0012PP0054,19
0076PP0017,19
0012PP0011,19
4053PP1327,19
4043PP2410,19
4085PP5174,19
4077PP0453,19
4117PP0989,19
0079PP0024,19
4109PP0623,19
4027PP0156,19
4015PP0847,19
4069PP0342,19
4131PP3779,19
4111PP0281,19
4063PP0671,19
4027PP0154,19
0081PP0009,19
4119PP7614,19
0066PP0008,18
4069PP1436,18
4043PP3859,18
0052PP0026,18
4029PP0159,18
4111PP0985,18
4001PP1218,18
4043PP7601,18
0051PP0005,18
4033PP2953,18
4107PP0569,18
4100PP0747,18
0107PP0012,18
4075PP0442,18
4131PP0855,18
0077PP0045,18
4136PP0409,18
4043PP8843,18
4077PP0454,18
0120PP0002,18
4124PP8860,18
4119PP0127,18
0052PP0018,18
4043PP0189,18
4083PP3666,18
0035PP0023,18
0038PP0008,18
4111PP0291,18
0016PP0012,18
0031PP0005,18
4098PP3050,18
4118PP0271,18
4096PP3044,18
0077PP0013,18
4007PP2485,18
4119PP0130,18
0016PP0009,17
0014PP0011,17
4030PP5675,17
4119PP1561,17
4063PP6589,17
0011PP0009,17
4062PP0315,17
0013PP0018,17
0064PP0011,17
4030PP0945,17
4053PP0273,17
0107PP0017,17
4062PP2412,17
0023PP0032,17
0017PP0025,17
0026PP0017,17
4083PP8920,17
0114PP0008,17
4133PP3584,17
4099PP8624,17
4131PP3377,17
0028PP0032,17
0053PP0009,17
4076PP0446,17
4053PP5962,17
4098PP0646,17
4001PP0014,17
4008PP0112,17
4097PP2093,17
4043PP5227,17
4116PP5413,17
0048PP0010,17
4111PP0286,17
4062PP0328,17
4045PP0917,17
4101PP0551,17
4028PP8026,17
0127PA0001,17
4100PP0403,17
0020PP0008,17
4129PP8825,17
0070PP0025,17
0060PP0015,17
0058PP0004,17
4062PP0678,17
4096PP0543,17
4109PP0626,16
4043PP0188,16
0094PP0009,16
4078PP0456,16
0029PP0018,16
4043PP0185,16
0095PP0011,16
0081PP0034,16
0080PP0024,16
0076PP0018,16
4117PP0579,16
4097PP1557,16
0095PP0026,16
4069PP5143,16
0023PP0004,16
0031PP0016,16
0076PP0007,16
4136PP3282,16
4010PP0119,16
0089PP0002,16
4081PP0461,16
4008PP0108,16
0112PP0016,16
0075PP0017,16
0075PP0005,16
4001PP9174,16
0035PP0002,16
4084PP0470,16
4073PP7469,16
4112PP0150,16
0026PP0018,16
0084PP0003,16
4100PP0641,16
0017PP0017,16
4096PP0780,16
4055PP6195,16
4005PP3405,16
4083PP6614,16
0019PP0011,16
4001PP0027,15
0108PP0031,15
4113PP0053,15
4111PP0926,15
4130PP8591,15
0008PP0039,15
4062PP8655,15
0077PP0079,15
4085PP0663,15
4102PP8246,15
4116PP0161,15
4015PP7324,15
0070PP0023,15
4085PP8721,15
0093PP0016,15
4116PP2819,15
4014PP3986,15
4043PP0732,15
4007PP2079,15
4047PP7403,15
4007PP0103,15
4099PP3199,15
0056PP0022,15
4085PP0490,15
4109PP0811,15
4116PP8106,15
4117PP0592,15
4136PP5405,15
0079PP0016,15
4131PP8579,15
4131PP0238,15
4043PP1050,15
4030PP8397,15
4136PP0872,15
0113PP0023,15
0075PP0018,15
0010PP0010,15
4055PP6057,15
0022PP0012,15
4015PP8855,15
4066PP0499,14
4077PP0452,14
4043PP1288,14
4043PP0209,14
4043PP0187,14
4043PP2520,14
0081PP0059,14
0036PP0006,14
0041PP0005,14
4008PP1066,14
4069PP0654,14
4010PP8485,14
4097PP1614,14
4083PP8876,14
4117PP0578,14
4004PP2519,14
4069PP3172,14
4113PP0056,14
4008PP0115,14
0007PP0026,14
0013PP0013,14
0028PP0028,14
0053PP0020,14
4077PP8797,14
4107PP0566,14
0041PP0017,14
4105PP5418,14
4111PP2417,14
4095PP0505,14
0112PP0017,14
4109PP0890,14
4005PP5304,13
4086PP1847,13
4069PP5150,13
4043PP1160,13
0081PP0020,13
0052PP0019,13
0010PP0014,13
0037PP0005,13
0072PP0006,13
0076PP0012,13
4075PP0445,13
4100PP0432,13
4069PP2188,13
0120PP0003,13
0034PP0014,13
4062PP0308,13
4100PP0424,13
0056PP0019,13
0014PP0004,13
0101PP0003,13
0079PP0007,13
0112PP0015,13
0001PP2300,13
0008PP0027,13
0016PP0023,13
4084PP5477,13
4024PP0146,13
4001PP5858,13
0051PP0032,13
0054PP0023,13
4014PP1129,13
0102PP0019,12
4004PP6456,12
4030PP1569,12
0121PP0009,12
0090PP0007,12
0108PP0041,12
4075PP7467,12
0079PP0005,12
0095PP0016,12
0028PP0019,12
4096PP5581,12
4005PP6322,12
4078PP0457,12
4047PP8897,12
0077PP0010,12
0102PP0031,12
4091PP0496,12
4064PP0335,12
4009PP0117,12
0091PP0002,12
4004PP3772,12
0068PP0026,12
4005PP7731,12
0051PP0029,12
0087PP0007,12
4043PP0193,12
0089PA0001,12
0098PP0024,12
4111PP8875,12
4001PP6137,12
4137PP0155,12
4057PP5662,12
4136PP0748,12
0086PP0025,12
4055PP8608,12
4008PP0111,12
4001PP2020,12
0092PP0013,12
4001PP0008,12
0009PP0011,12
4062PP8082,12
4073PP0391,12
4001PP0020,11
4102PP3080,11
4015PP7591,11
4016PP5575,11
0003PP0021,11
0066PP0014,11
4053PP9002,11
4001PP0019,11
0041PP0022,11
0074PP0017,11
0027PP0021,11
4109PP0655,11
0018PP0002,11
0031PP0015,11
0084PP0004,11
4001PP6045,11
4111PP7747,11
0079PP0011,11
0108PP0015,11
0057PP0006,11
4043PP6509,11
0098PP0034,11
4119PP0124,11
4016PP8960,11
0021PP0016,11
0091PP0006,11
4036PP0177,11
0063PP0017,11
0105PP0021,11
0108PP0023,11
4043PP0199,11
4005PP5666,11
0068PP0015,11
4043PP1171,11
4114PP0060,11
0081PP0007,11
0059PP0016,11
4073PP8131,11
4010PP0120,11
4001PP9104,11
4135PP0434,11
4131PP5559,11
3062PP8822,11
0038PP0002,10
4130PP8726,10
0061PP0017,10
0058PP0008,10
0102PP0046,10
0088PP0007,10
0102PP0033,10
0038PP0005,10
0007PP0006,10
0050PP0005,10
4012PP0131,10
0077PP0005,10
4069PP8438,10
0128PP0002,10
4098PP0644,10
0072PP0003,10
0098PP0019,10
4100PP1022,10
4085PP5992,10
0061PP0008,10
0052PP0008,10
0106PP0044,10
4097PP3002,10
0095PP0018,10
0070PP0027,10
0052PP0006,10
0074PP0032,10
0102PP0028,10
0027PP0025,10
4015PP2499,10
0054PP0008,10
4023PP0145,10
4100PP0435,10
4076PP0447,10
4123PP3509,10
4092PP0498,10
4028PP0157,10
0084PP0009,10
4117PP0572,10
4015PP3954,10
4069PP2916,10
4111PP8912,10
4100PP9000,10
0097PP0041,10
4043PP0183,10
4005PP9009,9
3109PP8894,9
0090PP0021,9
0018PP0005,9
4043PP5609,9
0092PP0007,9
4001PP9116,9
0009PP0024,9
4001PP0703,9
0049PP0004,9
0107PP0006,9
0016PP0018,9
0091PP0008,9
0095PP0019,9
0099PP0003,9
0065PP0013,9
0049PP0005,9
4045PP0234,9
0092PP0005,9
4033PP7763,9
4109PP0625,9
0007PP0036,9
0134PP0003,9
0014PP0005,9
0080PP0006,9
4062PP0743,9
0091PP0007,9
0108PP0013,9
0002PP0018,9
4083PP8896,9
4084PP0471,9
0092PP0009,9
4100PP0869,9
0112PP0024,9
0059PP0017,9
4053PP0275,9
0093PP0015,9
0051PP0010,9
0026PP0020,9
0081PP0023,9
4077PP0451,9
0026PP0034,9
0060PP0026,9
0066PP0005,9
4005PP0092,9
4131PP5653,9
0009PP0019,9
4083PP3851,9
4043PP2311,9
0081PP0031,9
4116PP6478,9
4083PP6208,9
4028PP8134,9
0018PP0009,8
4111PP9002,8
4075PP3315,8
0099PP0010,8
4073PP3231,8
0072PP0002,8
4107PP1041,8
0036PP0008,8
4100PP0750,8
0038PP0003,8
0012PP0013,8
4116PP5635,8
4002PP0063,8
4001PP0708,8
4075PP1051,8
0013PP0003,8
0079PP0010,8
4111PP0277,8
0059PP0023,8
0093PP0004,8
0064PP0025,8
0016PP0013,8
4085PP0758,8
4008PP9004,8
0027PP0031,8
0093PP0018,8
4047PP5603,8
0026PP0013,8
0065PP0007,8
0006PP0011,8
0011PP0014,8
0010PP0012,8
4130PP7930,8
4099PP8865,8
4027PP2745,8
4001PP8605,8
4001PP2030,8
0076PP0016,8
0077PP0030,8
0098PP0045,8
0092PP0023,8
4021PP0142,7
0061PP0015,7
4045PP0220,7
0013PP0008,7
4062PP9016,7
4001PP0015,7
4069PP0745,7
0134PP0011,7
0037PP0001,7
0060PP0037,7
0134PP0005,7
0090PP0004,7
0042PP0034,7
0057PP0005,7
4045PP5534,7
4043PP0182,7
0086PP0002,7
4043PP1767,7
0023PP0035,7
4004PP8255,7
4026PP7398,7
4008PP0109,7
4055PP5351,7
0074PP0010,7
0113PP0015,7
0060PP0029,7
0015PP0028,7
4069PP8475,7
4043PP0196,7
0026PP0005,7
0022PP0013,7
0107PP0047,7
4109PP8157,7
0054PP0002,7
4030PP0946,7
4096PP0774,7
0097PP0039,7
0061PP0016,7
4047PP5948,7
0081PP0014,7
4085PP0478,7
4005PP0866,7
4004PP0065,7
4063PP8676,7
4069PP5149,7
0001PP0130,7
0021PP0003,7
4062PP5781,7
0061PP0003,7
0107PP0013,7
4052PP6075,7
0089PP0007,7
4100PP6158,7
4077PP1220,7
4062PP8784,7
4070PP0375,7
0003PP0010,7
0026PP0019,7
4062PP8361,7
4047PP1268,7
0006PP0002,7
0101PP0002,7
0102PP0044,7
4063PP5998,6
4044PP8135,6
0027PP0011,6
4085PP0481,6
0041PP0003,6
4022PP2239,6
4005PP5482,6
4025PP0148,6
4013PP0133,6
4116PP8901,6
0061PP0023,6
0058PP0020,6
4131PP0857,6
0049PP0007,6
0037PP0016,6
4083PP1778,6
4093PP5305,6
4133PP8428,6
4066PP5191,6
0017PP0028,6
4130PP8806,6
4077PP8155,6
4136PP0949,6
4069PP5918,6
0076PP0010,6
4075PP8945,6
4003PP0064,6
4001PP8559,6
4001PP8903,6
0076PP0008,6
0079PP0003,6
4100PP2960,6
4070PP2797,6
0102PP0015,6
4004PP3673,6
0102PP0009,6
4135PP7705,6
4091PP0495,6
0106PP0028,6
4073PP7530,6
0010PP0006,6
0103PP0008,6
0088PP0003,6
0031PP0010,6
0039PP0010,6
0066PP0010,6
4008PP2642,6
0053PP0045,6
4043PP3374,6
4001PP8645,6
0090PP0013,6
0061PP0014,6
4043PP3984,6
4031PP8398,6
0041PP0008,6
4047PP6162,6
4079PP0459,6
4100PP0414,6
4128PP2048,6
4109PP0621,6
0017PP0010,6
0014PP0006,6
4062PP5778,6
4109PP3840,6
4035PP0174,6
0026PP0008,6
4116PP1889,6
4116PP0160,6
0022PP0005,6
4006PP0101,6
4008PP3841,5
0095PP0013,5
4077PP0449,5
4008PP0110,5
0098PP0039,5
4030PP6040,5
4081PP5802,5
0017PP0013,5
0074PP0022,5
0121PP0002,5
4102PP8932,5
0037PP0003,5
4117PP3674,5
4040PP8052,5
0078PP0015,5
4053PP8744,5
4100PP3756,5
4001PP8714,5
4073PP3228,5
0094PP0011,5
4083PP6220,5
4096PP0541,5
0053PP0034,5
0102PP0003,5
4043PP0734,5
4116PP8343,5
4034PP0173,5
4001PP2157,5
4045PP3783,5
0106PP0040,5
0106PP0037,5
0128PP0006,5
0086PP0013,5
4005PP0955,5
4001PP8142,5
4015PP8962,5
4096PP1195,5
0029PP0016,5
4012PP0132,5
0068PP0014,5
4085PP0760,5
4131PP8656,5
0108PP0024,5
0053PP0005,5
0098PP0030,5
0110PP0018,5
4117PP0581,5
4073PP7615,5
0010PP0022,5
0019PP0014,5
4100PP9144,5
0014PP0014,5
4095PP3500,5
0033PP0010,5
4047PP2760,5
4111PP3317,5
0099PP0007,5
4096PP0528,5
0094PP0010,5
0090PP0015,5
4075PP8552,5
0027PP0007,5
0025PP0006,5
4001PP8765,5
0023PP0011,5
0070PP0021,5
0059PP0028,5
4085PP8640,5
0076PP0009,5
4085PP2985,5
4135PP3617,5
4083PP8193,5
0015PP0024,5
0064PP0022,5
0025PP0025,5
4056PP7326,5
0106PP0014,5
0053PP0025,5
4078PP0458,5
4109PP5590,5
4109PP0610,5
0015PP0011,5
0079PP0025,5
0008PP0041,5
0047PP0025,5
4063PP0330,5
0074PP0024,5
0013PP0040,5
4096PP5075,4
0095PP0031,4
0090PP0025,4
4025PP0149,4
0102PP0048,4
4055PP1950,4
4062PP5643,4
0087PP0006,4
4111PP2925,4
4043PP8264,4
0020PP0002,4
0012PP0005,4
0027PP0027,4
4004PP3981,4
0076PP0022,4
0025PP0014,4
4117PP5658,4
0036PP0014,4
0028PP0014,4
4117PP8816,4
0021PP0006,4
0086PP0020,4
0049PP0008,4
0098PP0041,4
4031PP9112,4
4116PP2842,4
4100PP8773,4
4001PP2060,4
4102PP5540,4
0012PP0015,4
0077PP0029,4
4055PP8321,4
0007PP0024,4
0070PP0040,4
0110PP0062,4
0016PP0029,4
0049PP0014,4
0028PP0041,4
0017PP0005,4
0088PP0008,4
0102PP0006,4
4083PP3787,4
0034PP0007,4
0036PP0017,4
0028PP0024,4
4001PP8747,4
4001PP1708,4
4004PP3483,4
0006PP0016,4
0089PP0005,4
4093PP8781,4
4109PP5336,4
4089PP0494,4
0019PP0009,4
0098PP0042,4
0026PP0043,4
0041PP0010,4
0053PP0043,4
4043PP8851,4
4061PP8277,4
0053PP0015,4
0097PP0025,4
0105PP0003,4
4094PP8758,4
4001PP8593,4
4102PP9179,4
0110PP0010,4
0026PP0044,4
4100PP0688,4
4109PP8842,4
0003PP0023,4
0052PP0005,4
0112PP0006,4
0088PP0011,4
0075PP0026,4
0013PP0011,4
0070PP0031,4
0006PP0032,4
0072PP0014,4
4109PP1754,4
0054PP0010,4
4102PP3152,4
0035PP0016,4
0112PP0005,4
4109PP0600,4
4108PP1498,4
0017PP0026,4
0057PP0010,4
4131PP0247,4
4112PP0151,4
4063PP9001,4
0072PP0012,4
0098PP0020,4
0091PP0012,4
0048PP0022,4
0070PP0006,4
4109PP0812,4
4085PP6185,4
4102PP2607,4
4069PP8641,4
4131PP6380,4
4014PP5645,4
0020PP0032,4
4049PP0269,4
0094PP0007,4
4028PP3289,4
0060PP0014,4
4062PP8893,4
0059PP0046,4
0020PP0026,3
0064PP0024,3
4076PP8094,3
0074PP0023,3
0078PP0030,3
0010PP0025,3
0110PP0040,3
0068PP0018,3
0093PP0014,3
0054PP0012,3
0110PP0014,3
4083PP7404,3
0086PP0009,3
4117PP0583,3
0108PP0002,3
0074PP0026,3
0082PP0005,3
0036PP0003,3
4063PP8847,3
0002PP0021,3
4096PP0517,3
4083PP6398,3
0118PP0005,3
0118PP0004,3
0090PP0009,3
0027PP0034,3
0072PP0011,3
4001PP2224,3
4031PP5112,3
0094PP0012,3
4062PP3358,3
0007PP0016,3
0076PP0006,3
0058PP0007,3
4130PP8214,3
0102PP0038,3
4016PP5578,3
0041PP0007,3
4062PP0077,3
0029PP0029,3
0091PP0018,3
4006PP8752,3
0102PP0060,3
4071PP8793,3
4015PP8248,3
4116PP7585,3
0108PP0052,3
0074PP0005,3
0103PP0013,3
0036PP0004,3
0040PP0007,3
0095PP0025,3
4030PP5997,3
0103PP0014,3
0087PP0014,3
4111PP2518,3
0134PP0010,3
3116PP9173,3
0077PP0009,3
0009PP0027,3
0052PP0030,3
0006PP0024,3
0011PP0008,3
0063PP0020,3
4112PP5513,3
0019PP0016,3
0041PP0016,3
4099PP8720,3
0059PP0011,3
0101PP0004,3
4055PP3476,3
0040PP0026,3
4102PP8943,3
0009PP0037,3
0020PP0019,3
0060PP0030,3
4043PP2966,3
0093PP0013,3
0078PP0013,3
0059PP0021,3
0056PP0013,3
0053PP0031,3
0011PP0024,3
0027PP0038,3
0003PP0017,3
0074PP0031,3
0038PP0004,3
4109PP2659,3
0028PP0053,3
0091PP0009,3
0029PP0011,3
0098PP0014,3
0006PP0034,3
4131PP0262,3
0090PP0014,3
0057PP0015,3
0019PP0019,3
4062PP0684,3
4096PP6570,3
0077PP0040,3
0018PP0019,3
0029PP0024,3
0070PP0028,3
4096PP1023,3
0017PP0011,3
4008PP8871,3
4131PP5531,3
4062PP0742,3
4019PP6358,3
4109PP0805,3
4060PP0299,3
0110PP0015,3
0021PP0007,3
4109PP1097,3
0072PP0010,3
0093PP0006,3
4097PP1701,3
4062PP0686,3
4083PP6084,3
0121PP0006,3
4116PP8414,3
0043PP0030,3
4117PP1795,3
0088PP0010,3
0093PP0023,3
0056PP0039,3
0068PP0017,3
4055PP6140,3
0108PP0036,3
0093PP0017,3
4100PP0416,3
0057PP0012,3
4001PP8824,3
0002PP0026,3
0009PP0005,3
0060PP0041,3
4009PP0118,3
0086PP0014,3
4097PP9153,3
4113PP5968,3
0010PP0019,3
4116PP8922,3
0049PP0016,3
0009PP0034,3
4130PP8800,3
4008PP8453,3
4001PP7525,3
0020PP0005,3
4063PP8620,3
0029PP0006,3
4026PP0152,3
0011PP0010,3
0050PP0002,3
0021PP0005,3
0102PP0064,3
0066PP0013,3
0020PP0003,3
0039PP0026,3
4001PP3296,3
0018PP0020,3
0074PP0009,3
0049PP0027,3
4070PP0374,3
4085PP3453,3
0084PP0008,3
4001PP0005,3
0104PP0002,3
0115PP0004,3
0088PP0016,3
4045PP1369,3
4073PP6464,3
0088PP0020,3
0028PP0036,3
0040PP0010,3
4015PP2506,3
4070PP6629,3
4111PP0675,3
4109PP0614,3
4069PP2704,3
4096PP1127,3
4069PP5156,3
4096PP0542,3
0108PP0030,3
0075PP0037,3
4069PP8141,3
0057PP0004,3
4062PP2442,3
0074PP0014,3
0017PP0012,3
0050PP0012,3
4015PP5791,3
0106PP0010,3
0013PP0015,3
0034PP0019,3
0059PP0038,3
4116PP8378,3
0034PP0008,3
0024PP0009,3
0081PP0021,3
4001PP8628,3
0027PP0019,3
4043PP8182,3
0056PP0031,3
4053PP1759,3
0070PP0041,2
4109PP0808,2
0070PP0032,2
0102PP0030,2
0134PP0001,2
0017PP0006,2
0077PP0047,2
0014PP0009,2
0077PP0021,2
0081PP0026,2
0092PP0025,2
0061PP0029,2
4009PP2315,2
0074PP0025,2
0012PP0024,2
0056PP0032,2
4117PP0571,2
0070PP0016,2
0076PP0011,2
0080PP0020,2
0134PP0002,2
0090PP0010,2
0008PP0051,2
0023PP0006,2
0034PP0015,2
4096PP1849,2
4001PP8878,2
0012PP0012,2
0107PP0010,2
0051PP0022,2
0016PP0019,2
0012PP0038,2
0007PP0004,2
0051PP0016,2
0086PP0011,2
0082PP0006,2
0115PP0009,2
0093PP0021,2
0074PP0015,2
0003PP0013,2
0104PP0003,2
0074PP0012,2
0074PP0004,2
0108PP0049,2
0107PP0023,2
0006PP0025,2
4001PP5127,2
0134PP0014,2
0086PP0017,2
0024PP0038,2
0074PP0016,2
0028PP0015,2
0070PP0004,2
0108PP0044,2
4055PP2759,2
4102PP9003,2
0108PP0034,2
0075PP0039,2
4111PP0916,2
0039PP0005,2
0105PP0010,2
0106PP0018,2
0077PP0068,2
0038PP0020,2
4015PP3139,2
0002PP0009,2
4102PP8846,2
0104PP0007,2
0040PP0009,2
0019PP0010,2
0064PP0036,2
0121PP0008,2
0090PP0018,2
0115PP0010,2
0058PP0012,2
0013PP0002,2
0074PP0003,2
0053PP0033,2
0025PP0022,2
4109PP1944,2
0066PP0021,2
4136PP3900,2
4109PP2787,2
0078PP0020,2
0024PP0031,2
4085PP1169,2
0039PP0027,2
0006PP0021,2
0041PP0026,2
4106PP3716,2
0020PP0016,2
4069PP1841,2
4085PP3097,2
0098PP0028,2
4014PP8325,2
0061PP0024,2
0106PP0015,2
0061PP0030,2
0079PP0051,2
0059PP0020,2
0105PP0025,2
4016PP2676,2
4085PP0691,2
0061PP0028,2
